C/A,Unit,Scp,Station,Linename,Division,Date,Time,Desc,Entries,Exits,On_N_Line,Dayofweek,NewCol
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-28,08:00:00,REGULAR,807166,1252345,True,1,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-28,12:00:00,REGULAR,807328,1252969,True,1,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-28,16:00:00,REGULAR,807608,1253171,True,1,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-28,20:00:00,REGULAR,808099,1253672,True,1,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-29,00:00:00,REGULAR,808313,1253862,True,2,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-29,04:00:00,REGULAR,808332,1253891,True,2,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-29,08:00:00,REGULAR,808369,1254148,True,2,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-29,12:00:00,REGULAR,808490,1254857,True,2,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-29,16:00:00,REGULAR,808793,1255180,True,2,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-29,20:00:00,REGULAR,809308,1255633,True,2,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-30,00:00:00,REGULAR,809577,1255807,True,3,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-30,04:00:00,REGULAR,809590,1255828,True,3,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-30,08:00:00,REGULAR,809621,1256073,True,3,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-30,12:00:00,REGULAR,809768,1256756,True,3,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-30,16:00:00,REGULAR,810042,1257074,True,3,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-30,20:00:00,REGULAR,810555,1257512,True,3,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-31,00:00:00,REGULAR,810812,1257702,True,4,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-31,04:00:00,REGULAR,810837,1257734,True,4,
A002,R051,02-03-01,59 ST,NQR456W,BMT,2018-08-31,08:00:00,REGULAR,810866,1257954,True,4,
